REGION,DIVISION,STATE,NAME,SEX,AGE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,0,0,3805718,3855956,4012658,3951461,3975871,4014258,4004393,4041738,4147997,4132735,4003587,3944153,3952444
0,0,0,United States,0,1,3820647,3798691,3855407,4004674,3936139,3953063,3987032,3972124,4002215,4100756,4078797,3978070,3951024
0,0,0,United States,0,2,3790534,3800144,3800096,3856114,4002836,3933735,3952632,3988119,3973479,4004146,4103002,4096929,4087074
0,0,0,United States,0,3,3832855,3821118,3802710,3804336,3860727,4008220,3943215,3966022,4004011,3992320,4025675,4119040,4133855
0,0,0,United States,0,4,3926400,3902384,3827346,3812607,3816873,3876609,4030128,3970880,3998260,4041170,4033457,4063170,4076132
0,0,0,United States,0,5,3965175,3967834,3910033,3837187,3823568,3829607,3893128,4050582,3993489,4024297,4070265,4056858,4069577
0,0,0,United States,0,6,4019782,4004335,3972508,3913054,3837761,3822089,3828153,3891329,4046402,3988117,4018200,4066381,4067657
0,0,0,United States,0,7,4118211,4091467,4012049,3982360,3924182,3850646,3838840,3848758,3914743,4073291,4017024,4030579,4052622
0,0,0,United States,0,8,4179294,4164871,4099542,4020970,3991075,3933161,3861877,3852265,3863089,3930544,4089946,4046486,4036621
0,0,0,United States,0,9,4267393,4235345,4179230,4118846,4044265,4018734,3967069,3901754,3896888,3913353,3987064,4148353,4155932
0,0,0,United States,0,10,4274122,4318540,4277249,4243816,4205042,4151951,4150122,4121105,4075718,4093680,4133090,4172541,4225412
0,0,0,United States,0,11,4115158,4151953,4344913,4295720,4254047,4207721,4149228,4141970,4106492,4055388,4066605,4114415,4096193
0,0,0,United States,0,12,4075909,4084732,4183955,4380351,4332987,4293550,4251162,4196880,4192002,4159477,4110576,4106243,4119403
0,0,0,United States,0,13,4010930,4034618,4113191,4209025,4401393,4350199,4308851,4264733,4207326,4200016,4164413,4118013,4109069
0,0,0,United States,0,14,4052306,4047853,4059370,4132509,4221884,4408259,4353216,4308450,4259504,4198094,4185880,4165982,4143934
0,0,0,United States,0,15,4019472,4064678,4083878,4097876,4172654,4264863,4456969,4406515,4364495,4318982,4259907,4242820,4246829
0,0,0,United States,0,16,3975074,3983291,4108304,4126961,4139141,4213762,4308145,4502997,4452250,4411176,4365338,4316139,4302394
0,0,0,United States,0,17,4046050,4048379,4028736,4148590,4160313,4167308,4239509,4331493,4521045,4467060,4421341,4395295,4369588
0,0,0,United States,0,18,4051223,4079606,4102851,4084316,4201835,4214061,4225126,4301050,4394638,4588123,4534634,4500855,4487337
0,0,0,United States,0,19,4126963,4119001,4132515,4152627,4123223,4242558,4256465,4265654,4335388,4425539,4611590,4585234,4552939
0,0,0,United States,0,20,4048773,4101286,4156725,4158896,4156877,4131771,4241197,4248095,4242404,4302988,4383628,4519129,4556617
0,0,0,United States,0,21,3840692,3893853,4133311,4182678,4167554,4180191,4150658,4258790,4257371,4251950,4307414,4354294,4386080
